Date,fips,covid_vaccine_rate
10/03/2021,05065,32.8
10/03/2021,23009,67.6
10/03/2021,27001,53.0
10/03/2021,27125,46.9
10/03/2021,51025,44.2
10/03/2021,48413,0.0
10/03/2021,20083,40.2
10/03/2021,47187,57.0
10/03/2021,24001,48.0
10/03/2021,02016,54.6
10/03/2021,22037,35.7
10/03/2021,42105,29.3
10/03/2021,37163,42.8
10/03/2021,56023,33.4
10/03/2021,17033,42.4
10/03/2021,27063,42.5
10/03/2021,01077,40.2
10/03/2021,40139,36.3
10/03/2021,19013,52.8
10/03/2021,51730,33.1
10/03/2021,26161,62.9
10/03/2021,31015,30.6
10/03/2021,46039,33.1
10/03/2021,24043,50.5
10/03/2021,31009,21.9
10/03/2021,01113,32.2
10/03/2021,01021,30.0
10/03/2021,40069,35.4
10/03/2021,13257,12.3
10/03/2021,17117,44.6
10/03/2021,18177,43.1
10/03/2021,21165,40.2
10/03/2021,54027,22.4
10/03/2021,31177,48.9
10/03/2021,18069,45.7
10/03/2021,48103,0.0
10/03/2021,12019,42.2
10/03/2021,18143,39.8
10/03/2021,12003,29.9
10/03/2021,17073,49.1
10/03/2021,51011,31.9
10/03/2021,16003,37.0
10/03/2021,UNK,0.0
10/03/2021,48099,0.0
10/03/2021,47155,42.4
10/03/2021,41043,49.2
10/03/2021,49039,32.2
10/03/2021,04013,48.2
10/03/2021,06115,42.0
10/03/2021,39101,41.5
10/03/2021,06073,50.0
10/03/2021,35041,27.2
10/03/2021,55027,45.4
10/03/2021,18005,52.8
10/03/2021,54043,16.4
10/03/2021,21023,43.0
10/03/2021,17077,40.8
10/03/2021,36083,62.0
10/03/2021,46083,40.1
10/03/2021,56045,30.6
10/03/2021,37117,82.8
10/03/2021,40045,31.0
10/03/2021,47065,48.9
10/03/2021,47001,47.8
10/03/2021,05009,32.2
10/03/2021,24027,73.6
10/03/2021,46097,45.4
10/03/2021,05099,34.5
10/03/2021,17203,46.3
10/03/2021,19181,52.2
10/03/2021,39033,39.6
10/03/2021,37025,46.2
10/03/2021,08029,41.6
10/03/2021,12023,36.7
10/03/2021,48141,0.0
10/03/2021,48165,0.0
10/03/2021,29101,34.2
10/03/2021,36007,56.4
10/03/2021,02185,32.5
10/03/2021,08007,50.7
10/03/2021,13127,43.4
10/03/2021,38019,53.7
10/03/2021,28057,30.8
10/03/2021,05055,37.5
10/03/2021,05131,42.3
10/03/2021,13249,16.9
10/03/2021,31035,37.2
10/03/2021,20085,56.0
10/03/2021,26009,51.9
10/03/2021,18145,50.9
10/03/2021,18063,64.1
10/03/2021,48213,0.0
10/03/2021,20013,52.3
10/03/2021,56033,43.3
10/03/2021,47089,43.2
10/03/2021,13313,20.8
10/03/2021,72073,69.9
10/03/2021,48037,0.0
10/03/2021,48481,0.0
10/03/2021,48199,0.0
10/03/2021,01099,37.3
10/03/2021,13271,17.0
10/03/2021,06061,57.7
10/03/2021,47073,38.1
10/03/2021,27103,54.4
10/03/2021,56035,27.4
10/03/2021,34031,59.1
10/03/2021,47123,37.2
10/03/2021,51115,54.1
10/03/2021,48469,0.0
10/03/2021,49017,47.3
10/03/2021,05007,44.1
10/03/2021,28035,35.4
10/03/2021,37187,39.3
10/03/2021,39017,48.7
10/03/2021,54093,30.2
10/03/2021,18045,41.4
10/03/2021,54009,21.4
10/03/2021,16037,38.9
10/03/2021,02105,64.6
10/03/2021,18027,29.2
10/03/2021,12109,61.6
10/03/2021,21169,33.8
10/03/2021,36093,63.2
10/03/2021,13269,26.7
10/03/2021,17015,52.8
10/03/2021,31055,56.6
10/03/2021,29075,38.6
10/03/2021,20127,49.2
10/03/2021,37079,35.4
10/03/2021,45063,46.8
10/03/2021,08069,59.6
10/03/2021,31075,17.3
10/03/2021,36099,47.9
10/03/2021,13227,13.5
10/03/2021,19163,52.1
10/03/2021,45023,38.4
10/03/2021,55137,39.2
10/03/2021,26081,52.7
10/03/2021,16087,33.6
10/03/2021,13319,20.3
10/03/2021,46105,23.6
10/03/2021,13057,28.7
10/03/2021,54039,31.1
10/03/2021,13199,22.3
10/03/2021,13291,12.3
10/03/2021,40009,36.0
10/03/2021,53065,33.5
10/03/2021,42047,51.3
10/03/2021,13189,17.3
10/03/2021,21099,30.7
10/03/2021,35021,36.6
10/03/2021,21145,49.1
10/03/2021,06043,0.0
10/03/2021,46033,37.9
10/03/2021,24019,52.5
10/03/2021,51760,40.3
10/03/2021,17137,44.3
10/03/2021,12053,47.6
10/03/2021,21193,53.5
10/03/2021,13299,22.2
10/03/2021,29223,31.9
10/03/2021,13261,36.2
10/03/2021,29055,29.0
10/03/2021,56001,46.6
10/03/2021,26085,51.5
10/03/2021,42019,56.3
10/03/2021,27027,33.1
10/03/2021,48369,0.0
10/03/2021,31021,51.2
10/03/2021,48253,0.0
10/03/2021,25021,68.2
10/03/2021,13137,17.5
10/03/2021,04003,53.0
10/03/2021,23019,61.9
10/03/2021,37043,34.0
10/03/2021,13069,26.6
10/03/2021,22081,31.1
10/03/2021,42071,55.7
10/03/2021,40109,54.4
10/03/2021,48267,0.0
10/03/2021,19071,45.6
10/03/2021,19101,42.9
10/03/2021,05121,34.2
10/03/2021,45041,46.8
10/03/2021,05057,28.3
10/03/2021,05093,34.4
10/03/2021,26067,39.9
10/03/2021,54107,39.2
10/03/2021,47181,35.3
10/03/2021,20103,52.0
10/03/2021,17111,52.4
10/03/2021,25005,56.0
10/03/2021,40153,32.9
10/03/2021,13121,28.3
10/03/2021,56031,35.0
10/03/2021,29139,43.6
10/03/2021,48081,0.0
10/03/2021,72037,63.2
10/03/2021,21115,42.4
10/03/2021,72061,78.8
10/03/2021,28017,42.1
10/03/2021,48231,0.0
10/03/2021,17075,41.7
10/03/2021,19063,45.0
10/03/2021,36009,48.1
10/03/2021,23021,55.1
10/03/2021,36071,56.5
10/03/2021,02100,62.7
10/03/2021,15001,0.0
10/03/2021,34023,62.5
10/03/2021,20023,39.7
10/03/2021,41065,57.5
10/03/2021,20167,37.7
10/03/2021,40059,38.8
10/03/2021,53025,47.0
10/03/2021,48445,0.0
10/03/2021,45019,55.9
10/03/2021,08041,53.0
10/03/2021,06015,35.8
10/03/2021,37045,40.0
10/03/2021,19045,48.1
10/03/2021,21195,45.9
10/03/2021,27041,50.0
10/03/2021,49041,33.7
10/03/2021,38093,45.7
10/03/2021,17121,36.6
10/03/2021,48043,0.0
10/03/2021,54029,22.7
10/03/2021,08107,67.2
10/03/2021,18061,45.6
10/03/2021,01069,36.6
10/03/2021,41033,44.9
10/03/2021,51047,42.8
10/03/2021,20081,32.3
10/03/2021,40137,40.9
10/03/2021,35009,32.4
10/03/2021,46091,43.6
10/03/2021,04027,56.6
10/03/2021,12065,53.1
10/03/2021,47027,25.0
10/03/2021,31025,51.7
10/03/2021,19089,46.4
10/03/2021,16015,27.4
10/03/2021,21101,43.8
10/03/2021,21143,52.6
10/03/2021,05039,50.2
10/03/2021,53073,63.0
10/03/2021,40119,41.8
10/03/2021,40037,37.2
10/03/2021,22019,36.0
10/03/2021,12045,44.5
10/03/2021,72003,63.6
10/03/2021,18083,44.9
10/03/2021,72041,66.7
10/03/2021,51700,46.2
10/03/2021,06019,49.8
10/03/2021,20033,41.5
10/03/2021,01043,33.6
10/03/2021,26137,49.3
10/03/2021,27163,58.7
10/03/2021,50007,63.1
10/03/2021,48051,0.0
10/03/2021,48395,0.0
10/03/2021,55057,46.2
10/03/2021,48447,0.0
10/03/2021,54041,29.5
10/03/2021,34041,58.8
10/03/2021,51690,39.0
10/03/2021,01131,45.0
10/03/2021,32031,56.2
10/03/2021,47041,34.5
10/03/2021,31053,46.1
10/03/2021,28061,42.0
10/03/2021,48205,0.0
10/03/2021,31069,40.3
10/03/2021,40057,42.0
10/03/2021,13143,13.5
10/03/2021,30043,43.3
10/03/2021,42109,40.8
10/03/2021,01015,39.5
10/03/2021,17087,32.9
10/03/2021,47079,40.8
10/03/2021,21229,47.5
10/03/2021,39159,53.5
10/03/2021,13175,22.8
10/03/2021,06079,51.9
10/03/2021,01067,38.4
10/03/2021,19139,52.8
10/03/2021,19193,48.5
10/03/2021,56015,33.4
10/03/2021,56039,79.1
10/03/2021,27161,49.8
10/03/2021,54011,21.7
10/03/2021,39135,37.4
10/03/2021,41027,73.5
10/03/2021,48425,0.0
10/03/2021,48337,0.0
10/03/2021,37083,44.4
10/03/2021,29031,42.1
10/03/2021,48157,0.0
10/03/2021,51031,37.5
10/03/2021,56011,24.3
10/03/2021,27039,50.7
10/03/2021,37055,65.0
10/03/2021,04007,51.0
10/03/2021,39045,49.4
10/03/2021,05021,40.3
10/03/2021,37049,49.8
10/03/2021,21209,56.9
10/03/2021,01083,31.6
10/03/2021,02195,65.5
10/03/2021,19197,51.1
10/03/2021,27097,40.9
10/03/2021,29149,27.2
10/03/2021,05067,33.2
10/03/2021,17069,35.3
10/03/2021,21167,51.2
10/03/2021,27173,49.1
10/03/2021,46003,41.6
10/03/2021,48401,0.0
10/03/2021,42133,53.1
10/03/2021,26165,42.8
10/03/2021,26159,48.2
10/03/2021,42033,45.1
10/03/2021,12051,40.4
10/03/2021,38037,18.3
10/03/2021,37161,34.4
10/03/2021,13255,14.5
10/03/2021,48177,0.0
10/03/2021,42085,49.7
10/03/2021,55051,51.7
10/03/2021,29155,24.1
10/03/2021,05013,31.5
10/03/2021,21125,36.2
10/03/2021,13263,27.0
10/03/2021,15009,0.0
10/03/2021,08015,56.8
10/03/2021,51103,56.5
10/03/2021,31183,26.8
10/03/2021,28131,38.2
10/03/2021,13079,16.8
10/03/2021,02158,56.9
10/03/2021,46073,38.5
10/03/2021,51053,43.1
10/03/2021,37051,53.9
10/03/2021,18079,35.7
10/03/2021,31097,48.2
10/03/2021,47053,38.0
10/03/2021,40131,39.9
10/03/2021,22113,32.7
10/03/2021,06049,0.0
10/03/2021,27155,53.5
10/03/2021,29049,41.1
10/03/2021,30073,46.3
10/03/2021,36053,54.4
10/03/2021,37013,46.9
10/03/2021,26013,51.3
10/03/2021,01115,33.6
10/03/2021,09009,67.6
10/03/2021,35013,53.6
10/03/2021,54069,12.4
10/03/2021,48187,0.0
10/03/2021,48089,0.0
10/03/2021,13023,10.3
10/03/2021,39049,55.3
10/03/2021,40079,33.9
10/03/2021,13195,21.0
10/03/2021,17059,44.6
10/03/2021,39039,43.4
10/03/2021,22121,46.8
