Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
09/30/2021,06021,39,Glenn County,CA,45.4,12889,12881.0,55.0,12017,57.7,3643,81.4,97.4,14792.0,52.1,14766.0,63.1,13755.0,66.0,4106.0,91.7,D,15.0,16.0,16.0,16.0,Non-metro,7.0,8.0,8.0,8.0
09/30/2021,53051,39,Pend Oreille County,WA,34.2,4689,4689.0,38.9,4523,40.8,2133,57.8,96.1,5368.0,39.1,5368.0,44.5,5165.0,46.5,2367.0,64.1,C,10.0,10.0,11.0,11.0,Metro,2.0,2.0,3.0,3.0
09/30/2021,13111,39,Fannin County,GA,19.4,5082,5082.0,21.6,4929,22.5,2129,26.6,57.0,5701.0,21.8,5701.0,24.2,5485.0,25.0,2316.0,28.9,B,5.0,5.0,5.0,5.0,Non-metro,5.0,5.0,5.0,5.0
09/30/2021,47183,39,Weakley County,TN,31.7,10571,10570.0,36.3,10252,38.1,4048,63.8,97.9,12451.0,37.4,12444.0,42.8,12030.0,44.7,4406.0,69.5,C,10.0,10.0,10.0,11.0,Non-metro,6.0,6.0,6.0,7.0
09/30/2021,30007,39,Broadwater County,MT,28.3,1765,1765.0,32.4,1734,34.6,885,59.0,95.6,2171.0,34.8,2171.0,39.9,2124.0,42.4,1012.0,67.5,A,1.0,2.0,2.0,3.0,Non-metro,5.0,6.0,6.0,7.0
09/30/2021,41071,39,Yamhill County,OR,54.7,58578,58444.0,63.5,54741,65.4,16253,85.1,97.8,64479.0,60.2,64292.0,69.9,59879.0,71.5,17172.0,89.9,C,12.0,12.0,12.0,12.0,Metro,4.0,4.0,4.0,4.0
09/30/2021,39081,39,Jefferson County,OH,43.5,28397,28397.0,49.6,27365,51.8,11186,77.6,98.7,30733.0,47.0,30733.0,53.7,29428.0,55.7,11726.0,81.3,C,11.0,11.0,12.0,12.0,Metro,3.0,3.0,4.0,4.0
09/30/2021,28067,39,Jones County,MS,36.1,24582,24582.0,43.2,23483,46.0,8656,73.2,98.3,29134.0,42.8,29132.0,51.2,27544.0,53.9,9410.0,79.6,D,14.0,15.0,15.0,16.0,Non-metro,6.0,7.0,7.0,8.0
09/30/2021,02240,39,Southeast Fairbanks Census Area,AK,26.8,1845,1843.0,32.4,1744,33.7,641,59.5,96.6,2158.0,31.3,2149.0,37.7,2040.0,39.4,691.0,64.1,C,9.0,10.0,10.0,11.0,Non-metro,5.0,6.0,6.0,7.0
09/30/2021,22125,39,West Feliciana Parish,LA,79.7,12405,12404.0,89.3,11946,91.8,3159,99.9,96.6,13762.0,88.4,13760.0,99.1,13205.0,99.9,3328.0,99.9,C,12.0,12.0,12.0,12.0,Metro,4.0,4.0,4.0,4.0
09/30/2021,34001,39,Atlantic County,NJ,56.4,148720,148712.0,65.3,141034,67.8,39686,80.9,93.4,170773.0,64.8,170756.0,75.0,161411.0,77.6,44122.0,90.0,D,16.0,16.0,16.0,16.0,Metro,4.0,4.0,4.0,4.0
09/30/2021,29133,39,Mississippi County,MO,36.8,4845,4845.0,42.5,4721,45.2,1605,67.1,91.2,5765.0,43.7,5764.0,50.5,5572.0,53.4,1875.0,78.4,D,14.0,15.0,15.0,15.0,Non-metro,6.0,7.0,7.0,7.0
09/30/2021,21163,39,Meade County,KY,36.8,10504,10504.0,42.9,10000,44.9,2949,70.4,94.4,12010.0,42.0,12010.0,49.0,11391.0,51.2,3175.0,75.8,B,6.0,7.0,7.0,8.0,Metro,2.0,3.0,3.0,4.0
09/30/2021,01087,39,Macon County,AL,39.7,7179,7179.0,44.8,6812,45.5,2434,64.3,92.5,9167.0,50.7,9166.0,57.2,8679.0,58.0,3009.0,79.5,D,14.0,15.0,15.0,15.0,Non-metro,6.0,7.0,7.0,7.0
09/30/2021,21127,39,Lawrence County,KY,38.1,5840,5840.0,45.4,5551,47.5,1874,67.9,94.4,6998.0,45.7,6998.0,54.4,6604.0,56.5,2102.0,76.2,D,14.0,15.0,15.0,15.0,Non-metro,6.0,7.0,7.0,7.0
09/30/2021,51680,39,Lynchburg city,VA,30.2,24839,24806.0,34.9,23708,35.8,7701,64.7,83.9,28728.0,35.0,28683.0,40.3,27283.0,41.2,8392.0,70.5,C,10.0,10.0,10.0,11.0,Metro,2.0,2.0,2.0,3.0
09/30/2021,30043,39,Jefferson County,MT,43.2,5276,5276.0,49.3,5008,51.5,2075,76.3,95.6,5846.0,47.8,5846.0,54.6,5544.0,57.0,2224.0,81.8,A,3.0,3.0,4.0,4.0,Non-metro,7.0,7.0,8.0,8.0
