Date,FIPS,County,State,Vaccination_Complete_Pct,candidate,party,total_votes,won,lat,long
09/30/2021,49057,Weber County,UT,47.1,Donald Trump,REP,65949,True,41.26982202953594,-111.91339509429424
09/30/2021,49057,Weber County,UT,47.1,Joe Biden,DEM,40695,False,41.26982202953594,-111.91339509429424
09/30/2021,16027,Canyon County,ID,34.4,Donald Trump,REP,61759,True,43.62513686554448,-116.7093125890369
09/30/2021,16027,Canyon County,ID,34.4,Joe Biden,DEM,25881,False,43.62513686554448,-116.7093125890369
09/30/2021,18171,Warren County,IN,40.4,Donald Trump,REP,3401,True,40.346937181849086,-87.35330188803933
09/30/2021,18171,Warren County,IN,40.4,Joe Biden,DEM,974,False,40.346937181849086,-87.35330188803933
09/30/2021,27007,Beltrami County,MN,50.1,Donald Trump,REP,12188,True,47.97375422574804,-94.93765105507488
09/30/2021,27007,Beltrami County,MN,50.1,Joe Biden,DEM,11426,False,47.97375422574804,-94.93765105507488
09/30/2021,8041,El Paso County,CO,52.6,Donald Trump,REP,202828,True,38.832103441396725,-104.52546027890772
09/30/2021,8041,El Paso County,CO,52.6,Joe Biden,DEM,161941,False,38.832103441396725,-104.52546027890772
09/30/2021,54085,Ritchie County,WV,19.1,Donald Trump,REP,3649,True,39.17825796134736,-81.0629795607957
09/30/2021,54085,Ritchie County,WV,19.1,Joe Biden,DEM,586,False,39.17825796134736,-81.0629795607957
09/30/2021,47001,Anderson County,TN,47.7,Donald Trump,REP,23184,True,36.1184532128386,-84.19845816615089
09/30/2021,47001,Anderson County,TN,47.7,Joe Biden,DEM,11741,False,36.1184532128386,-84.19845816615089
09/30/2021,5007,Benton County,AR,43.9,Donald Trump,REP,73965,True,36.33872438847401,-94.25619693381994
09/30/2021,5007,Benton County,AR,43.9,Joe Biden,DEM,42249,False,36.33872438847401,-94.25619693381994
09/30/2021,46009,Bon Homme County,SD,44.7,Donald Trump,REP,2235,True,42.98846678306624,-97.88462060449169
09/30/2021,46009,Bon Homme County,SD,44.7,Joe Biden,DEM,721,False,42.98846678306624,-97.88462060449169
09/30/2021,26059,Hillsdale County,MI,33.2,Donald Trump,REP,17037,True,41.88778448980544,-84.59294121082296
09/30/2021,26059,Hillsdale County,MI,33.2,Joe Biden,DEM,5883,False,41.88778448980544,-84.59294121082296
09/30/2021,41061,Union County,OR,42.0,Donald Trump,REP,10298,True,45.31024619404154,-118.00879734104352
09/30/2021,41061,Union County,OR,42.0,Joe Biden,DEM,4254,False,45.31024619404154,-118.00879734104352
09/30/2021,55123,Vernon County,WI,48.9,Donald Trump,REP,8218,True,43.59387226348324,-90.83441066225475
09/30/2021,55123,Vernon County,WI,48.9,Joe Biden,DEM,7457,False,43.59387226348324,-90.83441066225475
09/30/2021,30059,Meagher County,MT,44.3,Donald Trump,REP,833,True,46.598199766756125,-110.88569072047314
09/30/2021,30059,Meagher County,MT,44.3,Joe Biden,DEM,258,False,46.598199766756125,-110.88569072047314
09/30/2021,39035,Cuyahoga County,OH,56.0,Joe Biden,DEM,416176,True,41.42447411868614,-81.6586409545816
09/30/2021,39035,Cuyahoga County,OH,56.0,Donald Trump,REP,202699,False,41.42447411868614,-81.6586409545816
09/30/2021,55129,Washburn County,WI,56.6,Donald Trump,REP,6334,True,45.89922933523567,-91.7912207758298
09/30/2021,55129,Washburn County,WI,56.6,Joe Biden,DEM,3867,False,45.89922933523567,-91.7912207758298
09/30/2021,37083,Halifax County,NC,43.9,Joe Biden,DEM,15545,True,36.25744662391024,-77.65173465817115
09/30/2021,37083,Halifax County,NC,43.9,Donald Trump,REP,10080,False,36.25744662391024,-77.65173465817115
09/30/2021,20173,Sedgwick County,KS,43.1,Donald Trump,REP,117653,True,37.68476831641511,-97.46098502204742
09/30/2021,20173,Sedgwick County,KS,43.1,Joe Biden,DEM,90820,False,37.68476831641511,-97.46098502204742
09/30/2021,45081,Saluda County,SC,26.3,Donald Trump,REP,6210,True,34.006095774084585,-81.72689929289723
09/30/2021,45081,Saluda County,SC,26.3,Joe Biden,DEM,2963,False,34.006095774084585,-81.72689929289723
09/30/2021,26077,Kalamazoo County,MI,52.7,Joe Biden,DEM,83686,True,42.24546050037149,-85.53118545999637
09/30/2021,26077,Kalamazoo County,MI,52.7,Donald Trump,REP,56823,False,42.24546050037149,-85.53118545999637
09/30/2021,27075,Lake County,MN,58.8,Joe Biden,DEM,3647,True,47.64092760386808,-91.44572875496092
09/30/2021,27075,Lake County,MN,58.8,Donald Trump,REP,3393,False,47.64092760386808,-91.44572875496092
09/30/2021,13117,Forsyth County,GA,21.5,Donald Trump,REP,85123,True,34.225543250240136,-84.12502041036171
09/30/2021,13117,Forsyth County,GA,21.5,Joe Biden,DEM,42208,False,34.225543250240136,-84.12502041036171
09/30/2021,56007,Carbon County,WY,37.9,Donald Trump,REP,5014,True,41.69435954761483,-106.9306670306716
09/30/2021,56007,Carbon County,WY,37.9,Joe Biden,DEM,1427,False,41.69435954761483,-106.9306670306716
09/30/2021,47173,Union County,TN,29.6,Donald Trump,REP,6803,True,36.28787239001951,-83.8375282531577
09/30/2021,47173,Union County,TN,29.6,Joe Biden,DEM,1249,False,36.28787239001951,-83.8375282531577
09/30/2021,20091,Johnson County,KS,63.7,Joe Biden,DEM,184259,True,38.88376637108757,-94.82231676678708
09/30/2021,20091,Johnson County,KS,63.7,Donald Trump,REP,155631,False,38.88376637108757,-94.82231676678708
09/30/2021,20083,Hodgeman County,KS,40.1,Donald Trump,REP,866,True,38.08749316612595,-99.8979261293054
09/30/2021,20083,Hodgeman County,KS,40.1,Joe Biden,DEM,151,False,38.08749316612595,-99.8979261293054
09/30/2021,29183,St. Charles County,MO,53.4,Donald Trump,REP,128389,True,38.78192346199814,-90.6748753264728
09/30/2021,29183,St. Charles County,MO,53.4,Joe Biden,DEM,89530,False,38.78192346199814,-90.6748753264728
09/30/2021,31103,Keya Paha County,NE,25.7,Donald Trump,REP,476,True,42.87887591532898,-99.71239991842086
09/30/2021,31103,Keya Paha County,NE,25.7,Joe Biden,DEM,49,False,42.87887591532898,-99.71239991842086
09/30/2021,5025,Cleveland County,AR,45.6,Donald Trump,REP,2867,True,33.89837312457409,-92.18518895706724
09/30/2021,5025,Cleveland County,AR,45.6,Joe Biden,DEM,651,False,33.89837312457409,-92.18518895706724
09/30/2021,20061,Geary County,KS,55.6,Donald Trump,REP,5193,True,39.00241626170008,-96.7525303867292
09/30/2021,20061,Geary County,KS,55.6,Joe Biden,DEM,3825,False,39.00241626170008,-96.7525303867292
09/30/2021,31123,Morrill County,NE,30.6,Donald Trump,REP,2113,True,41.71601483918396,-103.0106143450342
09/30/2021,31123,Morrill County,NE,30.6,Joe Biden,DEM,386,False,41.71601483918396,-103.0106143450342
09/30/2021,29117,Livingston County,MO,38.6,Donald Trump,REP,5267,True,39.78211352584426,-93.54825544671932
09/30/2021,29117,Livingston County,MO,38.6,Joe Biden,DEM,1410,False,39.78211352584426,-93.54825544671932
09/30/2021,51057,Essex County,VA,44.0,Donald Trump,REP,3075,True,37.94340644854229,-76.95144012936174
09/30/2021,51057,Essex County,VA,44.0,Joe Biden,DEM,3038,False,37.94340644854229,-76.95144012936174
09/30/2021,55055,Jefferson County,WI,50.1,Donald Trump,REP,27208,True,43.02082846610267,-88.77588315426726
09/30/2021,55055,Jefferson County,WI,50.1,Joe Biden,DEM,19904,False,43.02082846610267,-88.77588315426726
09/30/2021,27137,St. Louis County,MN,57.3,Joe Biden,DEM,67704,True,47.60315653765749,-92.47063162489904
09/30/2021,27137,St. Louis County,MN,57.3,Donald Trump,REP,49017,False,47.60315653765749,-92.47063162489904
09/30/2021,17193,White County,IL,40.3,Donald Trump,REP,5791,True,38.08747726000744,-88.1795551880565
