Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
09/30/2021,49057,39,Weber County,UT,47.1,122652,122646.0,57.8,112173,59.7,25450,82.4,97.3,143057.0,55.0,143041.0,67.4,130042.0,69.3,28611.0,92.7,B,7.0,8.0,8.0,8.0,Metro,3.0,4.0,4.0,4.0
09/30/2021,15007,39,Kauai County,HI,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,,,,,Non-metro,,,,
09/30/2021,16027,39,Canyon County,ID,34.4,79069,,,79046,47.7,24248,75.3,97.6,91019.0,39.6,,,90984.0,54.9,26126.0,81.1,C,10.0,,11.0,12.0,Metro,2.0,,3.0,4.0
09/30/2021,18171,39,Warren County,IN,40.4,3338,3338.0,47.3,3186,49.6,1225,72.0,98.7,3572.0,43.2,3572.0,50.6,3386.0,52.7,1270.0,74.7,A,3.0,3.0,3.0,4.0,Non-metro,7.0,7.0,7.0,8.0
09/30/2021,27007,39,Beltrami County,MN,50.1,23621,23575.0,60.4,21902,62.0,6965,89.6,94.1,28075.0,59.5,27997.0,71.8,25916.0,73.3,7509.0,96.6,D,16.0,16.0,16.0,16.0,Non-metro,8.0,8.0,8.0,8.0
09/30/2021,08041,39,El Paso County,CO,52.6,378764,378070.0,62.4,353120,64.3,78156,82.1,97.4,425283.0,59.0,424254.0,70.0,395914.0,72.1,84703.0,89.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0
09/30/2021,54085,39,Ritchie County,WV,19.1,1823,1823.0,21.7,1779,23.2,850,38.7,59.8,2335.0,24.4,2335.0,27.8,2254.0,29.4,971.0,44.2,B,5.0,5.0,5.0,6.0,Non-metro,5.0,5.0,5.0,6.0
09/30/2021,47001,39,Anderson County,TN,47.7,36731,36728.0,55.2,35091,57.8,12429,79.7,97.9,41710.0,54.2,41700.0,62.6,39520.0,65.1,13316.0,85.4,C,11.0,12.0,12.0,12.0,Metro,3.0,4.0,4.0,4.0
09/30/2021,05007,39,Benton County,AR,43.9,122421,122157.0,52.8,111565,54.0,25364,66.9,90.2,145489.0,52.1,145056.0,62.7,131904.0,63.9,29308.0,77.3,B,7.0,8.0,8.0,7.0,Metro,3.0,4.0,4.0,3.0
09/30/2021,46009,39,Bon Homme County,SD,44.7,3087,3087.0,51.1,2975,53.5,1045,72.9,84.7,3171.0,45.9,,0.0,,0.0,,0.0,A,3.0,4.0,4.0,4.0,Non-metro,7.0,8.0,8.0,8.0
