Date,FIPS,County,State,Vaccination_Complete_Pct,Metro_status,Social Vulnerability Index (SVI),SVI Category
09/30/2021,49057,Weber County,UT,47.1,Metro,0.43,Moderate Concern
09/30/2021,16027,Canyon County,ID,34.4,Metro,0.74,High Concern
09/30/2021,18171,Warren County,IN,40.4,Non-metro,0.08,Very Low Concern
09/30/2021,27007,Beltrami County,MN,50.1,Non-metro,0.78,High Concern
09/30/2021,8041,El Paso County,CO,52.6,Metro,0.39,Low Concern
09/30/2021,54085,Ritchie County,WV,19.1,Non-metro,0.36,Low Concern
09/30/2021,47001,Anderson County,TN,47.7,Metro,0.61,High Concern
09/30/2021,5007,Benton County,AR,43.9,Metro,0.27,Low Concern
09/30/2021,46009,Bon Homme County,SD,44.7,Non-metro,0.24,Low Concern
09/30/2021,26059,Hillsdale County,MI,33.2,Non-metro,0.5,Moderate Concern
09/30/2021,41061,Union County,OR,42.0,Non-metro,0.67,High Concern
09/30/2021,55123,Vernon County,WI,48.9,Non-metro,0.38,Low Concern
09/30/2021,30059,Meagher County,MT,44.3,Non-metro,0.05,Very Low Concern
09/30/2021,39035,Cuyahoga County,OH,56.0,Metro,0.68,High Concern
09/30/2021,55129,Washburn County,WI,56.6,Non-metro,0.11,Very Low Concern
09/30/2021,37083,Halifax County,NC,43.9,Non-metro,0.96,Very High Concern
09/30/2021,20173,Sedgwick County,KS,43.1,Metro,0.54,Moderate Concern
09/30/2021,45081,Saluda County,SC,26.3,Metro,0.79,High Concern
09/30/2021,26077,Kalamazoo County,MI,52.7,Metro,0.41,Moderate Concern
09/30/2021,27075,Lake County,MN,58.8,Non-metro,0.11,Very Low Concern
09/30/2021,13117,Forsyth County,GA,21.5,Metro,0.04,Very Low Concern
09/30/2021,56007,Carbon County,WY,37.9,Non-metro,0.5,Moderate Concern
09/30/2021,47173,Union County,TN,29.6,Metro,0.67,High Concern
09/30/2021,20091,Johnson County,KS,63.7,Metro,0.06,Very Low Concern
09/30/2021,20083,Hodgeman County,KS,40.1,Non-metro,0.11,Very Low Concern
09/30/2021,29183,St. Charles County,MO,53.4,Metro,0.04,Very Low Concern
09/30/2021,31103,Keya Paha County,NE,25.7,Non-metro,0.0,Very Low Concern
09/30/2021,5025,Cleveland County,AR,45.6,Metro,0.56,Moderate Concern
09/30/2021,20061,Geary County,KS,55.6,Non-metro,0.66,High Concern
09/30/2021,31123,Morrill County,NE,30.6,Non-metro,0.42,Moderate Concern
09/30/2021,29117,Livingston County,MO,38.6,Non-metro,0.37,Low Concern
09/30/2021,51057,Essex County,VA,44.0,Non-metro,0.56,Moderate Concern
09/30/2021,55055,Jefferson County,WI,50.1,Non-metro,0.19,Very Low Concern
09/30/2021,27137,St. Louis County,MN,57.3,Metro,0.31,Low Concern
09/30/2021,17193,White County,IL,40.3,Non-metro,0.54,Moderate Concern
09/30/2021,32011,Eureka County,NV,22.9,Non-metro,0.07,Very Low Concern
09/30/2021,31065,Furnas County,NE,38.1,Non-metro,0.18,Very Low Concern
09/30/2021,5081,Little River County,AR,26.1,Metro,0.63,High Concern
09/30/2021,40053,Grant County,OK,36.7,Non-metro,0.16,Very Low Concern
09/30/2021,36009,Cattaraugus County,NY,47.9,Non-metro,0.73,High Concern
09/30/2021,40009,Beckham County,OK,35.8,Non-metro,0.71,High Concern
09/30/2021,13141,Hancock County,GA,11.9,Non-metro,0.8,High Concern
09/30/2021,30055,McCone County,MT,16.2,Non-metro,0.08,Very Low Concern
09/30/2021,54043,Lincoln County,WV,16.4,Metro,0.61,High Concern
09/30/2021,26049,Genesee County,MI,42.9,Metro,0.66,High Concern
09/30/2021,38029,Emmons County,ND,29.2,Non-metro,0.1,Very Low Concern
09/30/2021,39061,Hamilton County,OH,54.1,Metro,0.54,Moderate Concern
09/30/2021,21213,Simpson County,KY,45.9,Non-metro,0.29,Low Concern
09/30/2021,18005,Bartholomew County,IN,52.5,Metro,0.36,Low Concern
09/30/2021,29041,Chariton County,MO,33.2,Non-metro,0.19,Very Low Concern
09/30/2021,47129,Morgan County,TN,43.4,Metro,0.75,High Concern
09/30/2021,37035,Catawba County,NC,46.5,Metro,0.65,High Concern
09/30/2021,19005,Allamakee County,IA,47.0,Non-metro,0.32,Low Concern
09/30/2021,19067,Floyd County,IA,47.6,Non-metro,0.36,Low Concern
09/30/2021,25013,Hampden County,MA,55.7,Metro,0.82,Very High Concern
09/30/2021,33015,Rockingham County,NH,58.6,Metro,0.01,Very Low Concern
09/30/2021,37025,Cabarrus County,NC,45.9,Metro,0.42,Moderate Concern
09/30/2021,17001,Adams County,IL,44.5,Non-metro,0.25,Low Concern
09/30/2021,19047,Crawford County,IA,47.2,Non-metro,0.86,Very High Concern
09/30/2021,13137,Habersham County,GA,17.2,Non-metro,0.71,High Concern
09/30/2021,28055,Issaquena County,MS,32.0,Non-metro,0.95,Very High Concern
09/30/2021,31169,Thayer County,NE,41.0,Non-metro,0.06,Very Low Concern
09/30/2021,18179,Wells County,IN,37.6,Metro,0.14,Very Low Concern
09/30/2021,13067,Cobb County,GA,37.3,Metro,0.27,Low Concern
09/30/2021,12035,Flagler County,FL,56.1,Metro,0.28,Low Concern
09/30/2021,16005,Bannock County,ID,40.3,Metro,0.58,Moderate Concern
09/30/2021,29071,Franklin County,MO,48.3,Metro,0.15,Very Low Concern
09/30/2021,31057,Dundy County,NE,33.1,Non-metro,0.3,Low Concern
09/30/2021,29031,Cape Girardeau County,MO,41.8,Metro,0.41,Moderate Concern
09/30/2021,23025,Somerset County,ME,53.2,Non-metro,0.62,High Concern
09/30/2021,38065,Oliver County,ND,21.7,Metro,0.21,Low Concern
09/30/2021,27113,Pennington County,MN,43.9,Non-metro,0.3,Low Concern
09/30/2021,40133,Seminole County,OK,44.8,Non-metro,0.93,Very High Concern
09/30/2021,20077,Harper County,KS,40.9,Non-metro,0.32,Low Concern
09/30/2021,56033,Sheridan County,WY,43.3,Non-metro,0.09,Very Low Concern
09/30/2021,37153,Richmond County,NC,39.9,Non-metro,0.98,Very High Concern
09/30/2021,28155,Webster County,MS,42.2,Non-metro,0.6,Moderate Concern
09/30/2021,54075,Pocahontas County,WV,23.7,Non-metro,0.5,Moderate Concern
09/30/2021,37177,Tyrrell County,NC,39.8,Non-metro,0.88,Very High Concern
09/30/2021,13229,Pierce County,GA,23.3,Non-metro,0.66,High Concern
09/30/2021,47041,DeKalb County,TN,34.3,Non-metro,0.43,Moderate Concern
09/30/2021,33007,Coos County,NH,55.5,Non-metro,0.53,Moderate Concern
09/30/2021,22035,East Carroll Parish,LA,38.6,Non-metro,0.94,Very High Concern
09/30/2021,40069,Johnston County,OK,35.2,Non-metro,0.85,Very High Concern
09/30/2021,51800,Suffolk city,VA,43.7,Metro,0.35,Low Concern
09/30/2021,45043,Georgetown County,SC,48.1,Non-metro,0.68,High Concern
09/30/2021,5033,Crawford County,AR,39.4,Metro,0.61,High Concern
09/30/2021,31081,Hamilton County,NE,39.7,Metro,0.01,Very Low Concern
09/30/2021,27033,Cottonwood County,MN,48.0,Non-metro,0.47,Moderate Concern
09/30/2021,24035,Queen Anne's County,MD,58.6,Metro,0.02,Very Low Concern
09/30/2021,28111,Perry County,MS,31.3,Metro,0.71,High Concern
09/30/2021,36025,Delaware County,NY,50.7,Non-metro,0.63,High Concern
09/30/2021,46067,Hutchinson County,SD,38.3,Non-metro,0.25,Low Concern
09/30/2021,13283,Treutlen County,GA,13.9,Non-metro,0.95,Very High Concern
09/30/2021,39029,Columbiana County,OH,42.7,Non-metro,0.49,Moderate Concern
09/30/2021,17163,St. Clair County,IL,48.9,Metro,0.52,Moderate Concern
09/30/2021,51053,Dinwiddie County,VA,43.0,Metro,0.42,Moderate Concern
09/30/2021,27011,Big Stone County,MN,57.2,Non-metro,0.2,Low Concern
09/30/2021,40139,Texas County,OK,36.0,Non-metro,0.82,Very High Concern
09/30/2021,13097,Douglas County,GA,26.5,Metro,0.54,Moderate Concern
09/30/2021,50011,Franklin County,VT,31.7,Metro,0.11,Very Low Concern
09/30/2021,19011,Benton County,IA,51.3,Metro,0.01,Very Low Concern
09/30/2021,12027,DeSoto County,FL,38.6,Non-metro,0.96,Very High Concern
09/30/2021,41065,Wasco County,OR,57.1,Non-metro,0.84,Very High Concern
09/30/2021,56035,Sublette County,WY,27.4,Non-metro,0.03,Very Low Concern
09/30/2021,42035,Clinton County,PA,38.4,Non-metro,0.49,Moderate Concern
09/30/2021,36051,Livingston County,NY,52.6,Metro,0.34,Low Concern
09/30/2021,26013,Baraga County,MI,50.8,Non-metro,0.66,High Concern
09/30/2021,1113,Russell County,AL,31.9,Metro,0.91,Very High Concern
09/30/2021,30065,Musselshell County,MT,30.1,Non-metro,0.36,Low Concern
09/30/2021,38015,Burleigh County,ND,40.8,Metro,0.17,Very Low Concern
09/30/2021,8055,Huerfano County,CO,47.6,Non-metro,0.6,Moderate Concern
09/30/2021,46097,Miner County,SD,45.3,Non-metro,0.11,Very Low Concern
09/30/2021,46125,Turner County,SD,35.5,Metro,0.11,Very Low Concern
09/30/2021,12053,Hernando County,FL,47.5,Metro,0.55,Moderate Concern
09/30/2021,21189,Owsley County,KY,39.0,Non-metro,0.84,Very High Concern
09/30/2021,51193,Westmoreland County,VA,42.9,Non-metro,0.29,Low Concern
09/30/2021,46025,Clark County,SD,44.6,Non-metro,0.17,Very Low Concern
09/30/2021,6037,Los Angeles County,CA,59.6,Metro,0.77,High Concern
09/30/2021,20045,Douglas County,KS,53.4,Metro,0.22,Low Concern
09/30/2021,51660,Harrisonburg city,VA,37.3,Metro,0.79,High Concern
09/30/2021,37091,Hertford County,NC,28.6,Non-metro,0.99,Very High Concern
09/30/2021,18151,Steuben County,IN,42.8,Non-metro,0.27,Low Concern
09/30/2021,29095,Jackson County,MO,47.0,Metro,0.54,Moderate Concern
09/30/2021,26113,Missaukee County,MI,40.6,Non-metro,0.48,Moderate Concern
09/30/2021,8103,Rio Blanco County,CO,33.2,Non-metro,0.34,Low Concern
09/30/2021,13209,Montgomery County,GA,20.4,Non-metro,0.85,Very High Concern
09/30/2021,20195,Trego County,KS,35.3,Non-metro,0.04,Very Low Concern
09/30/2021,55127,Walworth County,WI,47.0,Non-metro,0.27,Low Concern
09/30/2021,21037,Campbell County,KY,65.3,Metro,0.22,Low Concern
09/30/2021,29059,Dallas County,MO,31.4,Metro,0.7,High Concern
09/30/2021,13149,Heard County,GA,12.1,Metro,0.72,High Concern
09/30/2021,13043,Candler County,GA,17.8,Non-metro,0.98,Very High Concern
09/30/2021,28125,Sharkey County,MS,47.7,Non-metro,0.97,Very High Concern
09/30/2021,5003,Ashley County,AR,43.2,Non-metro,0.86,Very High Concern
09/30/2021,13241,Rabun County,GA,25.2,Non-metro,0.53,Moderate Concern
09/30/2021,22091,St. Helena Parish,LA,26.6,Metro,0.9,Very High Concern
09/30/2021,30011,Carter County,MT,26.3,Non-metro,0.05,Very Low Concern
09/30/2021,40051,Grady County,OK,32.4,Metro,0.31,Low Concern
09/30/2021,19075,Grundy County,IA,55.0,Metro,0.0,Very Low Concern
09/30/2021,6021,Glenn County,CA,45.4,Non-metro,0.89,Very High Concern
09/30/2021,23015,Lincoln County,ME,71.1,Non-metro,0.11,Very Low Concern
09/30/2021,29007,Audrain County,MO,32.7,Non-metro,0.62,High Concern
09/30/2021,5037,Cross County,AR,44.4,Non-metro,0.7,High Concern
09/30/2021,20047,Edwards County,KS,41.7,Non-metro,0.37,Low Concern
09/30/2021,25007,Dukes County,MA,3.6,Non-metro,0.01,Very Low Concern
09/30/2021,37095,Hyde County,NC,56.3,Non-metro,0.86,Very High Concern
09/30/2021,13127,Glynn County,GA,43.2,Metro,0.72,High Concern
09/30/2021,33009,Grafton County,NH,66.8,Non-metro,0.19,Very Low Concern
09/30/2021,46105,Perkins County,SD,23.3,Non-metro,0.11,Very Low Concern
09/30/2021,19033,Cerro Gordo County,IA,56.0,Non-metro,0.25,Low Concern
09/30/2021,13177,Lee County,GA,16.4,Metro,0.35,Low Concern
09/30/2021,38073,Ransom County,ND,52.5,Non-metro,0.09,Very Low Concern
09/30/2021,36013,Chautauqua County,NY,50.7,Non-metro,0.72,High Concern
09/30/2021,26145,Saginaw County,MI,45.8,Metro,0.7,High Concern
09/30/2021,18121,Parke County,IN,35.5,Non-metro,0.58,Moderate Concern
09/30/2021,31009,Blaine County,NE,21.9,Non-metro,0.09,Very Low Concern
09/30/2021,31129,Nuckolls County,NE,44.7,Non-metro,0.17,Very Low Concern
09/30/2021,21139,Livingston County,KY,42.5,Non-metro,0.26,Low Concern
09/30/2021,37127,Nash County,NC,48.6,Metro,0.83,Very High Concern
09/30/2021,5067,Jackson County,AR,33.0,Non-metro,0.76,High Concern
09/30/2021,51141,Patrick County,VA,35.2,Non-metro,0.64,High Concern
09/30/2021,16083,Twin Falls County,ID,37.6,Non-metro,0.5,Moderate Concern
09/30/2021,1009,Blount County,AL,26.1,Metro,0.42,Moderate Concern
09/30/2021,27173,Yellow Medicine County,MN,48.9,Non-metro,0.33,Low Concern
09/30/2021,40123,Pontotoc County,OK,44.6,Non-metro,0.65,High Concern
09/30/2021,21011,Bath County,KY,47.4,Non-metro,0.73,High Concern
09/30/2021,17079,Jasper County,IL,31.1,Non-metro,0.24,Low Concern
09/30/2021,20149,Pottawatomie County,KS,33.9,Metro,0.15,Very Low Concern
09/30/2021,24001,Allegany County,MD,47.7,Metro,0.62,High Concern
09/30/2021,51117,Mecklenburg County,VA,39.8,Non-metro,0.78,High Concern
09/30/2021,51171,Shenandoah County,VA,43.6,Non-metro,0.36,Low Concern
09/30/2021,47119,Maury County,TN,54.6,Metro,0.39,Low Concern
09/30/2021,55005,Barron County,WI,47.0,Non-metro,0.33,Low Concern
09/30/2021,41049,Morrow County,OR,45.6,Non-metro,0.76,High Concern
09/30/2021,26097,Mackinac County,MI,65.6,Non-metro,0.65,High Concern
09/30/2021,51810,Virginia Beach city,VA,50.3,Metro,0.19,Very Low Concern
09/30/2021,46127,Union County,SD,43.6,Metro,0.03,Very Low Concern
09/30/2021,37005,Alleghany County,NC,49.1,Non-metro,0.63,High Concern
09/30/2021,37075,Graham County,NC,41.2,Non-metro,0.63,High Concern
09/30/2021,37001,Alamance County,NC,49.0,Metro,0.78,High Concern
09/30/2021,31177,Washington County,NE,48.8,Metro,0.04,Very Low Concern
09/30/2021,17113,McLean County,IL,51.3,Metro,0.19,Very Low Concern
09/30/2021,53001,Adams County,WA,47.1,Non-metro,0.96,Very High Concern
09/30/2021,38033,Golden Valley County,ND,24.4,Non-metro,0.09,Very Low Concern
09/30/2021,26099,Macomb County,MI,49.6,Metro,0.33,Low Concern
09/30/2021,20051,Ellis County,KS,42.5,Non-metro,0.16,Very Low Concern
09/30/2021,20191,Sumner County,KS,36.7,Metro,0.22,Low Concern
09/30/2021,47043,Dickson County,TN,40.1,Metro,0.43,Moderate Concern
09/30/2021,8011,Bent County,CO,21.7,Non-metro,0.9,Very High Concern
09/30/2021,18097,Marion County,IN,48.7,Metro,0.8,High Concern
09/30/2021,27041,Douglas County,MN,49.7,Non-metro,0.04,Very Low Concern
09/30/2021,13075,Cook County,GA,33.8,Non-metro,0.85,Very High Concern
09/30/2021,20127,Morris County,KS,49.0,Non-metro,0.24,Low Concern
09/30/2021,21075,Fulton County,KY,48.7,Non-metro,0.87,Very High Concern
09/30/2021,23023,Sagadahoc County,ME,68.3,Metro,0.05,Very Low Concern
09/30/2021,42045,Delaware County,PA,63.1,Metro,0.41,Moderate Concern
09/30/2021,56029,Park County,WY,39.4,Non-metro,0.07,Very Low Concern
09/30/2021,20001,Allen County,KS,38.7,Non-metro,0.4,Low Concern
09/30/2021,28023,Clarke County,MS,47.4,Non-metro,0.67,High Concern
09/30/2021,27127,Redwood County,MN,45.5,Non-metro,0.23,Low Concern
09/30/2021,27071,Koochiching County,MN,51.6,Non-metro,0.44,Moderate Concern
09/30/2021,51131,Northampton County,VA,63.1,Non-metro,0.68,High Concern
09/30/2021,5031,Craighead County,AR,37.0,Metro,0.8,Very High Concern
09/30/2021,56009,Converse County,WY,27.6,Non-metro,0.2,Low Concern
09/30/2021,28147,Walthall County,MS,34.4,Non-metro,0.86,Very High Concern
09/30/2021,36041,Hamilton County,NY,77.7,Non-metro,0.39,Low Concern
09/30/2021,17197,Will County,IL,52.8,Metro,0.2,Low Concern
09/30/2021,56023,Lincoln County,WY,33.4,Non-metro,0.08,Very Low Concern
09/30/2021,46115,Spink County,SD,36.0,Non-metro,0.18,Very Low Concern
09/30/2021,2282,Yakutat City and Borough,AK,69.1,Non-metro,0.59,Moderate Concern
09/30/2021,32009,Esmeralda County,NV,35.3,Non-metro,0.64,High Concern
09/30/2021,18133,Putnam County,IN,37.9,Metro,0.35,Low Concern
09/30/2021,55079,Milwaukee County,WI,54.0,Metro,0.81,Very High Concern
09/30/2021,18083,Knox County,IN,44.7,Non-metro,0.59,Moderate Concern
09/30/2021,28103,Noxubee County,MS,48.3,Non-metro,0.99,Very High Concern
09/30/2021,9009,New Haven County,CT,67.4,Metro,0.52,Moderate Concern
09/30/2021,47073,Hawkins County,TN,38.0,Metro,0.71,High Concern
09/30/2021,13211,Morgan County,GA,21.9,Metro,0.24,Low Concern
09/30/2021,40027,Cleveland County,OK,45.7,Metro,0.34,Low Concern
09/30/2021,37137,Pamlico County,NC,48.6,Metro,0.72,High Concern
09/30/2021,36039,Greene County,NY,54.5,Non-metro,0.42,Moderate Concern
09/30/2021,19173,Taylor County,IA,41.9,Non-metro,0.28,Low Concern
09/30/2021,42117,Tioga County,PA,38.5,Non-metro,0.32,Low Concern
09/30/2021,47083,Houston County,TN,34.6,Non-metro,0.56,Moderate Concern
09/30/2021,8107,Routt County,CO,67.0,Non-metro,0.06,Very Low Concern
09/30/2021,19045,Clinton County,IA,48.0,Non-metro,0.26,Low Concern
09/30/2021,55023,Crawford County,WI,51.0,Non-metro,0.4,Low Concern
09/30/2021,28049,Hinds County,MS,49.6,Metro,0.87,Very High Concern
09/30/2021,25017,Middlesex County,MA,69.1,Metro,0.23,Low Concern
09/30/2021,31041,Custer County,NE,33.3,Non-metro,0.18,Very Low Concern
09/30/2021,49009,Daggett County,UT,50.2,Non-metro,0.08,Very Low Concern
09/30/2021,21073,Franklin County,KY,68.8,Non-metro,0.55,Moderate Concern
09/30/2021,29081,Harrison County,MO,29.3,Non-metro,0.74,High Concern
09/30/2021,39057,Greene County,OH,55.9,Metro,0.21,Low Concern
09/30/2021,36045,Jefferson County,NY,60.0,Metro,0.65,High Concern
09/30/2021,28045,Hancock County,MS,34.1,Metro,0.59,Moderate Concern
09/30/2021,42115,Susquehanna County,PA,41.6,Non-metro,0.21,Low Concern
09/30/2021,32007,Elko County,NV,33.5,Non-metro,0.52,Moderate Concern
09/30/2021,19159,Ringgold County,IA,46.0,Non-metro,0.13,Very Low Concern
09/30/2021,12045,Gulf County,FL,44.4,Metro,0.59,Moderate Concern
09/30/2021,22073,Ouachita Parish,LA,38.6,Metro,0.85,Very High Concern
09/30/2021,6033,Lake County,CA,50.6,Non-metro,0.92,Very High Concern
09/30/2021,19107,Keokuk County,IA,41.5,Non-metro,0.04,Very Low Concern
09/30/2021,17085,Jo Daviess County,IL,66.7,Non-metro,0.05,Very Low Concern
09/30/2021,40031,Comanche County,OK,48.8,Metro,0.84,Very High Concern
09/30/2021,20147,Phillips County,KS,38.7,Non-metro,0.24,Low Concern
09/30/2021,46049,Faulk County,SD,43.9,Non-metro,0.08,Very Low Concern
09/30/2021,27139,Scott County,MN,58.4,Metro,0.11,Very Low Concern
09/30/2021,8069,Larimer County,CO,59.3,Metro,0.12,Very Low Concern
09/30/2021,29179,Reynolds County,MO,21.7,Non-metro,0.56,Moderate Concern
09/30/2021,13109,Evans County,GA,19.7,Non-metro,0.98,Very High Concern
09/30/2021,31179,Wayne County,NE,36.3,Non-metro,0.08,Very Low Concern
09/30/2021,18013,Brown County,IN,45.4,Metro,0.06,Very Low Concern
09/30/2021,30005,Blaine County,MT,69.5,Non-metro,0.92,Very High Concern
09/30/2021,26133,Osceola County,MI,35.3,Non-metro,0.74,High Concern
09/30/2021,13217,Newton County,GA,16.2,Metro,0.71,High Concern
09/30/2021,46051,Grant County,SD,38.6,Non-metro,0.06,Very Low Concern
09/30/2021,13001,Appling County,GA,12.7,Non-metro,0.97,Very High Concern
09/30/2021,51036,Charles City County,VA,46.5,Metro,0.24,Low Concern
09/30/2021,18119,Owen County,IN,38.3,Metro,0.35,Low Concern
09/30/2021,47189,Wilson County,TN,44.8,Metro,0.15,Very Low Concern
09/30/2021,21019,Boyd County,KY,38.8,Metro,0.69,High Concern
09/30/2021,50023,Washington County,VT,40.2,Non-metro,0.18,Very Low Concern
09/30/2021,12055,Highlands County,FL,44.5,Metro,0.87,Very High Concern
09/30/2021,27087,Mahnomen County,MN,51.7,Non-metro,0.87,Very High Concern
09/30/2021,38045,LaMoure County,ND,43.0,Non-metro,0.04,Very Low Concern
09/30/2021,25011,Franklin County,MA,59.0,Non-metro,0.21,Low Concern
09/30/2021,40117,Pawnee County,OK,42.4,Metro,0.54,Moderate Concern
09/30/2021,1087,Macon County,AL,39.7,Non-metro,0.9,Very High Concern
09/30/2021,17029,Coles County,IL,37.4,Non-metro,0.5,Moderate Concern
09/30/2021,40039,Custer County,OK,41.3,Non-metro,0.75,High Concern
09/30/2021,33013,Merrimack County,NH,61.9,Non-metro,0.15,Very Low Concern
09/30/2021,29027,Callaway County,MO,41.3,Metro,0.32,Low Concern
09/30/2021,51143,Pittsylvania County,VA,37.6,Non-metro,0.64,High Concern
09/30/2021,28051,Holmes County,MS,50.1,Non-metro,0.98,Very High Concern
09/30/2021,17165,Saline County,IL,38.6,Non-metro,0.86,Very High Concern
09/30/2021,28027,Coahoma County,MS,42.6,Non-metro,0.93,Very High Concern
09/30/2021,30057,Madison County,MT,39.6,Non-metro,0.17,Very Low Concern
09/30/2021,42051,Fayette County,PA,51.5,Metro,0.62,High Concern
09/30/2021,38075,Renville County,ND,31.8,Non-metro,0.03,Very Low Concern
09/30/2021,21115,Johnson County,KY,41.5,Non-metro,0.81,Very High Concern
09/30/2021,22113,Vermilion Parish,LA,32.5,Metro,0.82,Very High Concern
09/30/2021,17043,DuPage County,IL,61.2,Metro,0.16,Very Low Concern
09/30/2021,56019,Johnson County,WY,36.7,Non-metro,0.18,Very Low Concern
09/30/2021,56041,Uinta County,WY,39.2,Non-metro,0.45,Moderate Concern
09/30/2021,42059,Greene County,PA,41.9,Non-metro,0.44,Moderate Concern
09/30/2021,21051,Clay County,KY,36.5,Non-metro,0.91,Very High Concern
09/30/2021,22005,Ascension Parish,LA,43.3,Metro,0.4,Low Concern
09/30/2021,45007,Anderson County,SC,34.6,Metro,0.7,High Concern
09/30/2021,20023,Cheyenne County,KS,39.4,Non-metro,0.1,Very Low Concern
09/30/2021,40077,Latimer County,OK,29.2,Non-metro,0.89,Very High Concern
09/30/2021,22057,Lafourche Parish,LA,38.2,Metro,0.77,High Concern
